i,j,k,accuracy
0,0,10,53.5714285714
0,1,9,96.4285714286
0,2,8,100.0
0,3,7,100.0
0,4,6,92.8571428571
0,5,5,89.2857142857
0,6,4,89.2857142857
0,7,3,89.2857142857
0,8,2,89.2857142857
0,9,1,89.2857142857
1,0,9,53.5714285714
1,1,8,100.0
1,2,7,100.0
1,3,6,100.0
1,4,5,92.8571428571
1,5,4,89.2857142857
1,6,3,89.2857142857
1,7,2,89.2857142857
1,8,1,89.2857142857
2,0,8,53.5714285714
2,1,7,96.4285714286
2,2,6,100.0
2,3,5,100.0
2,4,4,96.4285714286
2,5,3,89.2857142857
2,6,2,89.2857142857
2,7,1,89.2857142857
3,0,7,53.5714285714
3,1,6,96.4285714286
3,2,5,100.0
3,3,4,100.0
3,4,3,96.4285714286
3,5,2,89.2857142857
3,6,1,92.8571428571
4,0,6,53.5714285714
4,1,5,96.4285714286
4,2,4,96.4285714286
4,3,3,96.4285714286
4,4,2,96.4285714286
4,5,1,92.8571428571
5,0,5,53.5714285714
5,1,4,100.0
5,2,3,96.4285714286
5,3,2,96.4285714286
5,4,1,96.4285714286
6,0,4,53.5714285714
6,1,3,100.0
6,2,2,96.4285714286
6,3,1,96.4285714286
7,0,3,53.5714285714
7,1,2,96.4285714286
7,2,1,96.4285714286
8,0,2,53.5714285714
8,1,1,92.8571428571
9,0,1,53.5714285714
