i,j,k,accuracy
0,0,10,12.5714285714
0,1,9,81.1428571429
0,2,8,81.1428571429
0,3,7,81.1428571429
0,4,6,81.1428571429
0,5,5,81.1428571429
0,6,4,80.5714285714
0,7,3,80.0
0,8,2,79.4285714286
0,9,1,77.1428571429
1,0,10,12.5714285714
1,1,9,81.1428571429
1,2,8,81.7142857143
