pattern_id,p,r_band_size,accuracy
1,0,0.01,72.1301775148
2,1/2,0.01,72.1301775148
3,1,0.01,72.1301775148
4,2,0.01,72.1301775148
1,0,0.03,74.6153846154
2,1/2,0.03,74.6153846154
1,0,0.05,77.9881656805
