pattern_id,p,r_band_size,accuracy
1,0,0.01,81.1428571429
2,1/2,0.01,81.1428571429
3,1,0.01,81.1428571429
4,2,0.01,81.1428571429
1,0,0.03,81.7142857143
2,1/2,0.03,81.7142857143
3,1,0.03,82.2857142857
4,2,0.03,82.2857142857
1,0,0.05,81.7142857143
