pattern_id,p,r_band_size,accuracy
1,0,0.01,92.8571428571
1,0,0.03,92.8571428571
1,0,0.05,89.2857142857
2,1/2,0.01,92.8571428571
2,1/2,0.03,92.8571428571
2,1/2,0.05,92.8571428571
3,1,0.01,92.8571428571
3,1,0.03,92.8571428571
3,1,0.05,92.8571428571
3,2,0.01,92.8571428571
3,2,0.03,92.8571428571
3,2,0.05,92.8571428571
