i,j,k,accuracy
0,0,10,4.26035502959
0,1,9,72.3076923077
0,2,8,72.1301775148
0,3,7,71.9526627219
0,4,6,71.9526627219
0,5,5,71.8934911243
0,6,4,71.8934911243
0,7,3,71.8343195266
0,8,2,71.775147929
0,9,1,71.775147929
0,10,0,71.775147929
1,0,9,4.26035502959
