i,j,k,accuracy
2,50,50,70.0
2,51,49,70.0
2,52,48,70.0
2,53,47,70.0
2,54,46,70.0
2,55,45,70.0
2,56,44,70.0
2,57,43,70.0
2,58,42,70.0
2,59,41,70.0
2,60,40,70.0
2,61,39,70.0
2,62,38,70.0
2,63,37,70.0
2,64,36,70.0
2,65,35,70.0
2,66,34,70.0
2,67,33,70.0
2,68,32,70.0
2,69,31,70.0
2,70,30,70.0
2,71,29,70.0
2,72,28,70.0
2,73,27,70.0
2,74,26,70.0
2,75,25,70.0
2,76,24,70.0
2,77,23,70.0
2,78,22,70.0
2,79,21,66.6666666667
2,80,20,66.6666666667
2,81,19,66.6666666667
2,82,18,66.6666666667
2,83,17,66.6666666667
2,84,16,66.6666666667
2,85,15,66.6666666667
2,86,14,66.6666666667
2,87,13,66.6666666667
2,88,12,66.6666666667
2,89,11,66.6666666667
2,90,10,66.6666666667
2,91,9,66.6666666667
2,92,8,70.0
2,93,7,70.0
2,94,6,70.0
2,95,5,70.0
2,96,4,70.0
2,97,3,70.0
3,0,100,20.0
3,1,99,63.3333333333
3,2,98,63.3333333333
3,3,97,66.6666666667
3,4,96,73.3333333333
3,5,95,70.0
3,6,94,70.0
3,7,93,70.0
3,8,92,70.0
3,9,91,70.0
3,10,90,70.0
3,11,89,70.0
3,12,88,70.0
3,13,87,73.3333333333
3,14,86,73.3333333333
